                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.227,                  1.613,                 1.9492,                0.83663,                0.66704,                0.24249,                0.28496,                0.21045,                0.62351,                0.22975,                0.26213,                0.15174,                  1.114,                 1.5036,                  1.266,                0.82318,             0.00034887,             0.00034887,             0.00034887
                     25,                 1.2095,                 1.5564,                 1.8831,                0.83228,                0.43212,                0.30064,                0.28773,                0.21015,                0.41212,                0.28222,                0.26155,                0.14254,                  1.145,                  1.527,                  1.352,                0.82411,             0.00034852,             0.00034852,             0.00034852
                     26,                 1.1732,                 1.5856,                 1.8642,                0.83371,                0.47307,                0.30321,                 0.3083,                0.22979,                0.45471,                0.28788,                0.28175,                0.15712,                 1.0714,                 1.4906,                 1.3105,                 0.8214,             0.00034816,             0.00034816,             0.00034816
                     27,                 1.1414,                 1.5255,                 1.8016,                0.83096,                0.45366,                0.28304,                0.29742,                 0.2182,                0.54104,                0.26295,                0.27211,                0.14921,                 1.0682,                 1.5255,                 1.3159,                0.82184,             0.00034781,             0.00034781,             0.00034781
                     28,                 1.1604,                 1.5481,                 1.8204,                0.83168,                0.53534,                0.28991,                0.29992,                0.21608,                0.51367,                0.27461,                0.27121,                0.14531,                 1.0759,                 1.4845,                 1.3588,                0.82349,             0.00034746,             0.00034746,             0.00034746
                     29,                 1.1406,                 1.5187,                 1.7297,                0.82888,                0.40602,                0.30884,                0.30463,                0.21975,                0.38338,                0.29229,                0.27721,                0.15267,                 1.1007,                  1.601,                 1.3804,                0.82332,              0.0003471,              0.0003471,              0.0003471
                     30,                 1.1562,                 1.5519,                 1.7008,                0.83192,                0.38936,                0.37641,                0.35122,                0.26029,                0.40872,                 0.3447,                0.31625,                0.17351,                 1.0479,                 1.5016,                  1.222,                0.81998,             0.00034675,             0.00034675,             0.00034675
                     31,                 1.1241,                 1.4967,                 1.6965,                0.82951,                0.47229,                0.35414,                0.32888,                0.23931,                0.44618,                0.33298,                0.29601,                0.16303,                 1.0569,                 1.5286,                 1.2413,                0.82083,              0.0003464,              0.0003464,              0.0003464
                     32,                 1.1058,                 1.5072,                 1.6473,                0.83171,                0.53533,                0.33789,                0.32042,                  0.234,                0.51448,                 0.3186,                0.29224,                0.16438,                 1.0599,                 1.4965,                 1.2103,                0.82158,             0.00034604,             0.00034604,             0.00034604
                     33,                 1.1527,                 1.5368,                 1.6842,                0.83196,                 0.5192,                0.37373,                0.35444,                0.26204,                0.49899,                0.36199,                0.33019,                0.17899,                 1.0276,                 1.4565,                 1.1659,                0.81953,             0.00034569,             0.00034569,             0.00034569
                     34,                 1.1095,                 1.4999,                 1.6101,                0.82295,                0.54527,                0.39204,                0.34898,                0.25084,                0.51732,                0.37173,                0.31593,                0.16621,                 1.0577,                  1.611,                 1.2253,                0.82116,             0.00034534,             0.00034534,             0.00034534
                     35,                 1.0831,                 1.4806,                 1.5952,                0.82788,                 0.5368,                0.40322,                0.37814,                0.27212,                0.50693,                0.37946,                0.34095,                0.18047,                  1.062,                 1.5247,                 1.1795,                0.82114,             0.00034498,             0.00034498,             0.00034498
                     36,                 1.1081,                 1.5229,                  1.521,                0.82708,                0.57048,                0.42128,                0.39301,                0.28887,                0.54065,                0.39721,                0.35481,                0.19156,                 1.0255,                 1.4827,                 1.1449,                0.81921,             0.00034463,             0.00034463,             0.00034463
                     37,                 1.0941,                 1.4518,                 1.5746,                0.82345,                0.57976,                0.40211,                0.38822,                0.28277,                0.54964,                0.37485,                0.34496,                0.18132,                 1.0464,                 1.5011,                 1.1633,                  0.819,             0.00034428,             0.00034428,             0.00034428
                     38,                 1.0444,                 1.4232,                 1.4955,                0.82968,                0.59999,                0.42513,                0.40458,                0.29644,                0.54379,                0.39366,                0.35998,                0.18983,                 1.0565,                 1.5219,                 1.1062,                0.81912,             0.00034392,             0.00034392,             0.00034392
