                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8295,                 1.8685,                0.92965,                0.48682,                0.38741,                0.38107,                0.20118,                 1.7001,                 1.4081,                0.94523,             0.00034498,             0.00034498,             0.00034498
                     36,                 1.7561,                 1.7733,                0.93855,                0.44843,                0.37816,                0.36017,                0.19294,                 1.6803,                 1.4444,                0.93678,             0.00034463,             0.00034463,             0.00034463
                     37,                 1.8217,                 1.8379,                0.93886,                0.45796,                0.40436,                0.37428,                0.19575,                 1.7215,                 1.4864,                0.94617,             0.00034428,             0.00034428,             0.00034428
                     38,                 1.7367,                 1.7091,                 0.9374,                 0.4996,                0.42852,                0.39182,                0.20748,                 1.6854,                 1.3515,                0.93957,             0.00034392,             0.00034392,             0.00034392
                     39,                 1.8294,                 1.7639,                0.94093,                0.45811,                0.43916,                0.39886,                 0.2064,                 1.6951,                 1.4073,                0.93721,             0.00034357,             0.00034357,             0.00034357
                     40,                  1.779,                 1.6838,                0.93445,                0.43851,                0.46763,                0.39718,                 0.2053,                 1.7082,                 1.4239,                0.94544,             0.00034322,             0.00034322,             0.00034322
                     41,                 1.7377,                 1.6428,                0.93534,                0.47683,                0.46081,                0.41051,                0.21383,                 1.6942,                 1.3427,                0.94796,             0.00034286,             0.00034286,             0.00034286
                     42,                 1.7645,                 1.6863,                0.92798,                0.49136,                0.45419,                0.41512,                0.21712,                 1.6877,                 1.3083,                 0.9421,             0.00034251,             0.00034251,             0.00034251
                     43,                 1.7736,                 1.5669,                0.92609,                0.48219,                0.46677,                0.42109,                0.21993,                 1.6651,                 1.3556,                0.94311,             0.00034216,             0.00034216,             0.00034216
                     44,                 1.7377,                 1.6062,                0.93897,                0.53957,                0.45901,                0.44385,                0.22872,                 1.6871,                 1.3262,                0.94595,              0.0003418,              0.0003418,              0.0003418
                     45,                 1.7597,                 1.6472,                0.92981,                0.56896,                0.46608,                0.42894,                0.22406,                 1.6832,                 1.2795,                0.94827,             0.00034145,             0.00034145,             0.00034145
                     46,                 1.7855,                 1.5782,                0.92426,                0.49483,                0.48076,                0.42874,                0.22151,                 1.7035,                 1.2646,                0.94547,              0.0003411,              0.0003411,              0.0003411
                     47,                 1.7506,                 1.6161,                0.93428,                0.45113,                0.46957,                0.44742,                0.22728,                 1.6851,                 1.2805,                0.94971,             0.00034074,             0.00034074,             0.00034074
